Date UTC;T° (C);P (hPa);HR (%);P.rosée (°C);Visi (km);Vt. moy. (km/h);Vt. raf. (km/h);Vt. dir (°);RR 3h (mm);Neige (cm);Nebul. (octats)
24/10/15 18h00;10.1;1021.8;78;6.4;25;11.112;20.372;340;0;;3
24/10/15 21h00;7.9;1024.9;79;4.5;25;5.556;11.112;330;0;;1
25/10/15 00h00;6;1026.3;85;3.7;20;1.852;7.408;310;0;;0
25/10/15 03h00;5.1;1026.6;96;4.5;15;3.704;7.408;310;0;;3
25/10/15 06h00;3.8;1026.9;93;2.8;15;1.852;5.556;140;0;;2
25/10/15 09h00;10.9;1026.5;76;6.8;25;5.556;9.26;130;0;;2
25/10/15 12h00;14.1;1024.4;55;5.2;25;18.52;29.632;160;0;;3
25/10/15 15h00;14.1;1021.5;56;5.4;20;14.816;25.928;170;0;;3
25/10/15 18h00;9.7;1019.7;72;4.9;25;9.26;16.668;110;0;;0
25/10/15 21h00;9.2;1017.6;75;5;25;18.52;25.928;130;0;;0
26/10/15 00h00;11;1014.7;83;8.2;25;16.668;29.632;140;0;;7
26/10/15 03h00;10.9;1011.3;88;9;18;27.78;42.596;140;0;0;8
26/10/15 06h00;11.3;1009;88;9.4;15;22.224;40.744;140;0;;7
26/10/15 09h00;12.9;1008.2;87;10.8;16;20.372;40.744;150;0;0;8
26/10/15 12h00;15.1;1006.8;85;12.6;15;18.52;33.336;140;;0;8
26/10/15 15h00;16;1006.1;85;13.5;12;20.372;38.892;170;0;;8
26/10/15 18h00;15.1;1006;89;13.3;11;22.224;37.04;140;0;;8
26/10/15 21h00;14.6;1006;96;14;4;16.668;29.632;140;2;;8
27/10/15 00h00;14.6;1005.6;97;14.1;6;11.112;18.52;160;2;;8
27/10/15 03h00;13.2;1004.9;92;11.9;3;18.52;29.632;240;2;;8
27/10/15 06h00;11.9;1004.6;96;11.3;4;11.112;16.668;240;7;;8
27/10/15 09h00;11;1006;91;9.6;25;9.26;12.964;150;2;;7
27/10/15 12h00;13.3;1006.5;86;11;25;16.668;25.928;180;;;7
27/10/15 15h00;12.7;1006.1;88;10.8;15;11.112;24.076;220;0;;7
27/10/15 18h00;11.3;1006.7;92;10;20;12.964;20.372;160;0;;4
27/10/15 21h00;10.3;1006.7;93;9.2;18;11.112;18.52;150;0;0;
28/10/15 00h00;10.1;1006.2;88;8.2;35;12.964;22.224;150;0;0;
28/10/15 03h00;9.7;1005.3;90;8.1;20;14.816;22.224;150;0;;1
28/10/15 06h00;9.1;1005.1;93;8;20;12.964;24.076;140;0;;3
28/10/15 09h00;12.8;1005.3;84;10.2;20;18.52;33.336;170;0;;2
28/10/15 12h00;14.8;1005.3;75;10.4;20;22.224;42.596;180;0;;6
28/10/15 15h00;15;1005.5;76;10.8;20;25.928;44.448;200;0;;6
28/10/15 18h00;13.3;1006.8;88;11.4;15;16.668;35.188;200;0;;6
28/10/15 21h00;12.9;1007.8;89;11.1;16;18.52;31.484;190;0;0;8
29/10/15 00h00;13.7;1007.4;88;11.7;11;24.076;35.188;180;0;;8
29/10/15 03h00;13.1;1007;96;12.5;3;33.336;53.708;180;0;;8
29/10/15 06h00;14;1007.4;97;13.5;2;31.484;55.56;190;2;;8
29/10/15 09h00;12.4;1010.8;94;11.5;12;1.852;18.52;230;6;;8
29/10/15 12h00;14.7;1011.8;82;11.7;20;9.26;16.668;160;0;;7
29/10/15 15h00;14.5;1012.7;80;11.1;16;18.52;25.928;220;0;;7
29/10/15 18h00;12.5;1013.4;87;10.4;13;9.26;18.52;160;0;;7
29/10/15 21h00;13;1011.2;93;11.9;10;24.076;35.188;140;0;;7
30/10/15 00h00;15.9;1009.6;95;15.1;5;37.04;61.116;190;11;;8
30/10/15 03h00;16.1;1009.7;92;14.8;10;37.04;66.672;180;3;;8
30/10/15 06h00;15.2;1011.9;94;14.2;3;29.632;66.672;190;8;;8
30/10/15 09h00;15.6;1014.5;91;14.1;10;22.224;37.04;170;2;;8
30/10/15 12h00;17.2;1014.9;85;14.7;15;20.372;35.188;170;0;;7
30/10/15 15h00;17.2;1014.8;85;14.7;30;16.668;33.336;160;0;;8
30/10/15 18h00;15.4;1015.9;90;13.8;20;12.964;29.632;140;0;;6
30/10/15 21h00;14.6;1015.8;87;12.5;15;22.224;33.336;140;0;;8
31/10/15 00h00;14.9;1014.2;82;11.9;25;16.668;24.076;120;0;;7
31/10/15 03h00;14.1;1013.9;79;10.5;25;9.26;18.52;130;0;;7
31/10/15 06h00;14.1;1014.8;76;9.9;30;16.668;25.928;150;0;;7
31/10/15 09h00;15;1016.7;75;10.6;30;24.076;31.484;150;0;;5
31/10/15 12h00;19.1;1017.8;68;13.1;30;9.26;20.372;170;0;;3
31/10/15 15h00;20.4;1018.6;63;13.1;30;7.408;12.964;140;0;;1
31/10/15 18h00;14.1;1021.4;83;11.3;25;5.556;9.26;10;0;;1
31/10/15 21h00;12.4;1023.1;95;11.6;6;11.112;12.964;90;0;;1
01/11/15 00h00;10.5;1024;94;9.6;6;7.408;7.408;130;0;;1
01/11/15 03h00;11.6;1024.2;94;10.7;17;14.816;20.372;110;0;0;
01/11/15 06h00;12.8;1024.8;88;10.9;10;7.408;16.668;140;0;;1
01/11/15 09h00;15.4;1026.3;75;11;30;11.112;18.52;150;0;;0
01/11/15 12h00;18.8;1026;60;10.9;30;14.816;25.928;150;0;;0
01/11/15 15h00;20.2;1024.4;50;9.4;30;9.26;29.632;160;0;;0
01/11/15 18h00;12.7;1025.1;78;9;30;11.112;14.816;100;0;;0
01/11/15 21h00;11.4;1025;77;7.5;20;9.26;12.964;110;0;;0
02/11/15 00h00;10.6;1024;79;7.1;20;11.112;14.816;120;0;;0
02/11/15 03h00;12.3;1022.6;67;6.3;20;12.964;18.52;130;0;;0
02/11/15 06h00;12.3;1021.1;70;7;20;12.964;20.372;120;0;;0
02/11/15 09h00;15.6;1020.3;62;8.3;40;16.668;27.78;130;0;;0
02/11/15 12h00;18.9;1017.9;50;8.2;40;14.816;24.076;100;0;;1
02/11/15 15h00;17.9;1016.2;57;9.3;40;22.224;38.892;140;0;0;
02/11/15 18h00;13.3;1015.7;70;7.9;40;5.556;18.52;120;0;;1
02/11/15 21h00;9.6;1014.7;82;6.7;17;9.26;14.816;70;0;;2
03/11/15 00h00;12.4;1012.9;72;7.5;17;12.964;22.224;120;0;;3
03/11/15 03h00;12.8;1011.5;75;8.5;20;16.668;31.484;130;0;;6
03/11/15 06h00;12.9;1010.8;83;10.1;20;16.668;25.928;140;0;;7
03/11/15 09h00;12.7;1011.1;92;11.4;15;11.112;18.52;110;0;;8
03/11/15 12h00;15.9;1010.4;80;12.5;15;12.964;25.928;130;0;;7
03/11/15 15h00;16.5;1009.9;72;11.4;30;12.964;24.076;150;0;;3
03/11/15 18h00;13.8;1011;86;11.5;10;5.556;12.964;160;0;;7
03/11/15 21h00;10.4;1011.7;94;9.5;7;1.852;3.704;30;0;;3
04/11/15 00h00;9.1;1012.7;96;8.5;3;5.556;7.408;210;0;;5
04/11/15 03h00;11.6;1013;97;11.1;6;11.112;14.816;190;0;;6
04/11/15 06h00;12.9;1013.6;97;12.4;8;11.112;16.668;210;;;8
04/11/15 09h00;13.7;1014.7;96;13.1;10;16.668;25.928;190;4;;8
04/11/15 12h00;15.4;1014.8;90;13.8;12;18.52;27.78;200;0;;7
04/11/15 15h00;15;1014;89;13.2;12;14.816;31.484;190;0;;8
04/11/15 18h00;14.5;1014.2;94;13.5;10;18.52;29.632;180;0;;8
04/11/15 21h00;14;1013.8;93;12.9;7;25.928;38.892;170;0;;7
05/11/15 00h00;14.9;1013.2;94;13.9;9;24.076;35.188;180;0;;8
05/11/15 03h00;14.8;1012.3;97;14.3;2;27.78;44.448;210;2;;8
05/11/15 06h00;13.7;1012.3;87;11.6;10;24.076;44.448;220;0;;8
05/11/15 09h00;14.2;1011.9;95;13.4;3;29.632;42.596;180;3;;8
05/11/15 12h00;14.9;1010.7;94;13.9;3;40.744;68.524;190;9;;8
05/11/15 15h00;15.5;1010.7;97;15;5;31.484;53.708;220;4;;8
05/11/15 18h00;13.8;1013.4;94;12.9;9;20.372;50.004;230;0;;8
05/11/15 21h00;13.6;1015.5;93;12.5;9;18.52;35.188;230;;;8
06/11/15 00h00;13.6;1016.3;97;13.1;3.5;22.224;37.04;190;0;;8
06/11/15 03h00;14.5;1015;98;14.2;0.4;24.076;38.892;180;0;;8
06/11/15 06h00;16.1;1014.5;97;15.6;4;37.04;57.412;210;11;;8
06/11/15 09h00;16.2;1016;97;15.7;2;38.892;66.672;210;3;;8
06/11/15 12h00;16.3;1017.3;96;15.7;5;38.892;61.116;220;2;;8
06/11/15 15h00;16;1018.2;97;15.5;3;40.744;61.116;220;0;;8
06/11/15 18h00;15.7;1020;97;15.2;2.4;25.928;44.448;230;0;0;8
06/11/15 21h00;15.4;1020.5;98;15.1;1.5;29.632;46.3;220;1;;8
07/11/15 00h00;15.5;1020.1;97;15;8;25.928;40.744;190;0;0;8
07/11/15 03h00;15.9;1019.4;86;13.6;18;33.336;51.856;200;;;8
07/11/15 06h00;16.4;1018.6;86;14.1;20;37.04;55.56;190;0;;7
07/11/15 09h00;15.8;1019.6;90;14.2;5;44.448;68.524;200;2;;7
07/11/15 12h00;15.7;1021.1;95;14.9;3;40.744;64.82;220;1;;8
07/11/15 15h00;15.8;1023.2;82;12.7;15;12.964;35.188;270;;;6
07/11/15 18h00;11.4;1025.3;89;9.6;15;7.408;11.112;200;0;;4
07/11/15 21h00;11.1;1026.3;98;10.8;0.1;5.556;11.112;150;0;;5
08/11/15 00h00;11.6;1025.4;98;11.3;8;9.26;18.52;150;0;;8
08/11/15 03h00;13.1;1023.3;95;12.3;15;16.668;33.336;170;0;;7
08/11/15 06h00;14.4;1021.7;97;13.9;5;29.632;44.448;170;;;7
08/11/15 09h00;14.9;1021.1;94;13.9;20;31.484;48.152;170;;;7
08/11/15 12h00;16.4;1019.9;85;13.9;35;33.336;55.56;180;0;;7
08/11/15 15h00;16.3;1019.3;89;14.5;15;25.928;46.3;210;0;;7
08/11/15 18h00;15.6;1020.3;91;14.1;12;27.78;38.892;220;0;;8
08/11/15 21h00;13.8;1022.9;91;12.4;17;16.668;38.892;250;0;0;8
09/11/15 00h00;12.5;1025.3;89;10.7;10;11.112;22.224;260;0;;7
09/11/15 03h00;10.1;1025.7;90;8.5;10;11.112;16.668;210;0;;2
09/11/15 06h00;10.7;1027.4;86;8.5;50;12.964;35.188;230;0;0;
09/11/15 09h00;13.2;1028.7;77;9.3;20;22.224;35.188;230;0;;6
09/11/15 12h00;14.6;1028.4;76;10.4;20;33.336;51.856;220;0;;6
09/11/15 15h00;14.6;1028.4;78;10.8;20;35.188;53.708;230;0;;6
09/11/15 18h00;13.6;1028.5;84;10.9;20;27.78;46.3;220;0;;7
09/11/15 21h00;13.8;1028.4;85;11.3;18;29.632;46.3;220;0;;6
10/11/15 00h00;13.9;1028.5;85;11.4;17;24.076;38.892;220;0;;7
10/11/15 03h00;13.7;1027.9;86;11.4;17;16.668;35.188;220;0;;8
10/11/15 06h00;13.4;1027.1;79;9.8;20;27.78;40.744;210;0;;7
10/11/15 09h00;13.5;1027.8;76;9.3;30;18.52;35.188;230;0;;7
10/11/15 12h00;14.1;1027.5;71;8.9;30;24.076;40.744;220;0;;7
10/11/15 15h00;13.9;1026.7;72;8.9;30;27.78;38.892;220;0;;7
10/11/15 18h00;11.8;1026.6;83;9;30;11.112;27.78;220;0;;5
10/11/15 21h00;11.5;1026.3;89;9.7;20;9.26;20.372;210;0;;5
11/11/15 00h00;12.6;1025.9;84;10;20;12.964;22.224;210;0;;6
11/11/15 03h00;13.1;1025.3;85;10.6;20;12.964;24.076;230;0;;7
11/11/15 06h00;13.4;1024.6;80;10;20;16.668;24.076;220;0;;7
11/11/15 09h00;13.8;1024.9;81;10.6;20;20.372;31.484;200;0;;8
11/11/15 12h00;14;1024.7;80;10.6;55;22.224;37.04;220;0;0;8
11/11/15 15h00;14.4;1024;85;11.9;25;20.372;38.892;220;0;;7
11/11/15 18h00;13.4;1024.2;91;12;25;22.224;31.484;200;0;;7
11/11/15 21h00;13.6;1025;90;12;30;16.668;31.484;240;0;;7
12/11/15 00h00;12.6;1024.7;94;11.7;20;11.112;14.816;210;0;;3
12/11/15 03h00;12.7;1024.7;96;12.1;10;9.26;14.816;190;0;;6
12/11/15 06h00;12.4;1023.7;97;11.9;5;14.816;20.372;180;0;0;8
12/11/15 09h00;13.3;1023.5;95;12.5;11;22.224;29.632;180;0;;7
12/11/15 12h00;15.3;1022.5;83;12.4;19;25.928;44.448;200;0;;7
12/11/15 15h00;14.7;1020.9;86;12.4;13;31.484;55.56;200;0;;8
12/11/15 18h00;13.9;1020.9;93;12.8;7;25.928;44.448;220;0;;8
12/11/15 21h00;14.4;1021.5;87;12.3;18;25.928;50.004;240;;0;8
13/11/15 00h00;11.9;1023.4;79;8.4;15;14.816;31.484;240;0;;8
13/11/15 03h00;10.2;1024.2;83;7.4;13;5.556;14.816;260;0;0;8
13/11/15 06h00;8.1;1025.6;83;5.4;15;9.26;16.668;230;0;;3
13/11/15 09h00;12.3;1027.3;69;6.8;15;22.224;33.336;240;;;6
13/11/15 12h00;12.6;1029.2;70;7.3;20;22.224;38.892;280;0;;5
13/11/15 15h00;11.9;1030.2;68;6.2;20;18.52;48.152;280;;;6
13/11/15 18h00;8.1;1031.9;70;3;20;5.556;18.52;260;0;;6
13/11/15 21h00;8.4;1033.3;75;4.2;20;9.26;14.816;230;0;;4
14/11/15 00h00;8.6;1033.1;79;5.2;20;11.112;14.816;230;0;;4
14/11/15 03h00;8.8;1032.7;84;6.2;15;9.26;12.964;240;0;;4
14/11/15 06h00;11.2;1031.1;68;5.5;15;16.668;29.632;220;;;7
14/11/15 09h00;12.8;1030.2;68;7;30;27.78;42.596;210;0;;7
14/11/15 12h00;14;1029;70;8.6;40;37.04;61.116;220;;;8
14/11/15 15h00;13.7;1027.5;77;9.7;20;33.336;61.116;220;0;;8
14/11/15 18h00;13.5;1026.5;83;10.7;18;29.632;53.708;230;0;;8
14/11/15 21h00;13.5;1025.6;85;11;13;25.928;46.3;230;0;;8
15/11/15 00h00;13.4;1024.9;90;11.8;10;25.928;50.004;240;0;;8
15/11/15 03h00;13.4;1022.9;87;11.3;12;35.188;50.004;220;0;;8
15/11/15 06h00;13;1021.7;84;10.4;20;29.632;46.3;220;0;;6
15/11/15 09h00;13.5;1021.9;81;10.3;20;24.076;50.004;220;0;;6
15/11/15 12h00;13.7;1020.9;76;9.5;20;25.928;50.004;220;0;;7
15/11/15 15h00;13.2;1019;73;8.5;20;27.78;44.448;220;0;;7
15/11/15 18h00;12.9;1018.2;78;9.2;25;27.78;48.152;220;0;;7
15/11/15 21h00;13.3;1017.8;74;8.8;30;25.928;46.3;220;0;;7
16/11/15 00h00;13.7;1017.1;81;10.5;19;37.04;55.56;220;0;0;8
16/11/15 03h00;13.3;1015.4;93;12.2;4;33.336;55.56;220;0;;8
16/11/15 06h00;14;1015.1;96;13.4;6;37.04;66.672;230;3;;8
16/11/15 09h00;14.3;1016;93;13.2;10;14.816;50.004;260;1;;8
16/11/15 12h00;13.4;1016.3;92;12.1;15;14.816;25.928;260;0;;8
16/11/15 15h00;13.8;1014.7;91;12.4;11;22.224;37.04;220;;;8
16/11/15 18h00;14.1;1013.5;86;11.8;20;29.632;51.856;210;0;;8
16/11/15 21h00;14.9;1011.4;97;14.4;2.6;44.448;68.524;220;0;0;8
17/11/15 00h00;15;1011.8;93;13.9;10;38.892;66.672;240;0;;8
17/11/15 03h00;14.5;1012.2;93;13.4;6;37.04;53.708;240;0;;8
17/11/15 06h00;14.4;1012.6;91;12.9;15;33.336;53.708;240;;;8
17/11/15 09h00;14.5;1012.3;93;13.4;4;35.188;57.412;210;0;;8
17/11/15 12h00;15.4;1011.9;96;14.8;3;46.3;75.932;230;4;;8
17/11/15 15h00;15.2;1013.6;88;13.2;12;37.04;70.376;260;0;0;8
17/11/15 18h00;14.5;1016.7;83;11.6;10;27.78;51.856;250;0;;7
17/11/15 21h00;13.3;1019.2;81;10.1;9;16.668;42.596;260;0;;6
18/11/15 00h00;12.8;1020.2;79;9.2;12;14.816;37.04;250;0;;7
18/11/15 03h00;12.4;1020.1;87;10.3;9;24.076;38.892;230;0;;6
18/11/15 06h00;13;1019.7;86;10.7;12;27.78;44.448;220;0;;6
18/11/15 09h00;13.7;1019.5;77;9.7;20;37.04;59.264;220;0;;6
18/11/15 12h00;15.4;1019.3;82;12.3;20;35.188;61.116;220;0;;7
18/11/15 15h00;14.4;1019.5;85;11.9;12;33.336;57.412;250;0;;8
18/11/15 18h00;14;1020;88;12;12;29.16;47.16;240;;;
18/11/15 21h00;14.1;1020.9;88;12.1;12;29.632;50.004;250;0;;8
19/11/15 00h00;13.8;1021.6;89;12;13;22.224;40.744;260;0;0;8
19/11/15 03h00;13.5;1020.8;90;11.9;10;16.668;31.484;240;0;;7
19/11/15 06h00;13.6;1019.5;91;12.2;12;29.632;53.708;220;;;7
19/11/15 09h00;14.8;1019.3;96;14.2;5;33.336;55.56;240;2;;8
19/11/15 12h00;14.9;1020.4;86;12.6;14;31.484;62.968;250;;0;8
19/11/15 15h00;14.2;1020.1;93;13.1;4;29.632;57.412;250;;;8
19/11/15 18h00;13.9;1020.4;95;13.1;3;14.816;46.3;260;1;;8
19/11/15 21h00;14.1;1020;94;13.1;10;24.076;44.448;250;1;;8
20/11/15 00h00;13.9;1018.5;93;12.8;10;20.372;31.484;250;0;;8
20/11/15 03h00;14.1;1015.8;96;13.5;4;22.224;37.04;240;5;;8
20/11/15 06h00;14.5;1012.4;96;13.9;2;33.336;62.968;250;15;;8
20/11/15 09h00;10.3;1012.8;96;9.7;3;14.816;27.78;30;5;;8
20/11/15 12h00;9.9;1013.9;93;8.8;10;16.668;31.484;340;2;0;8
20/11/15 15h00;9;1013.9;90;7.4;3.5;22.224;37.04;320;1;;8
20/11/15 18h00;9.4;1013.3;83;6.7;25;9.26;25.928;300;0;;8
20/11/15 21h00;8.8;1012.9;77;5;15;16.668;33.336;300;0;;7
21/11/15 00h00;7.9;1011.9;75;3.7;18;29.632;57.412;340;1;0;8
21/11/15 03h00;6.5;1012;61;-0.5;40;35.188;81.488;330;;;7
21/11/15 06h00;5.5;1012.4;75;1.4;40;25.928;64.82;310;0;;7
21/11/15 09h00;7.9;1014.9;66;1.9;25;35.188;68.524;340;2;;6
21/11/15 12h00;9.5;1017.6;56;1.1;25;33.336;62.968;340;;;7
21/11/15 15h00;6.7;1018.6;65;0.6;12;44.448;77.784;340;0;;7
21/11/15 18h00;6.4;1018;75;2.3;30;20.372;46.3;320;0;;7
21/11/15 21h00;5.5;1017.4;79;2.1;18;14.816;27.78;330;1;;5
22/11/15 00h00;5.9;1016.1;85;3.6;18;11.112;35.188;340;1;;6
22/11/15 03h00;5.3;1013.8;89;3.6;10;0;12.964;0;3;;7
22/11/15 06h00;2.9;1013.4;93;1.9;20;0;5.556;0;0;;4
22/11/15 09h00;4.2;1015.1;96;3.6;20;11.112;12.964;150;0;;7
22/11/15 12h00;9.1;1016.4;66;3.1;20;1.852;5.556;120;;;7
22/11/15 15h00;8.4;1017.5;71;3.4;20;5.556;16.668;10;0;;5
22/11/15 18h00;3.8;1019.7;87;1.8;20;3.704;5.556;290;0;;3
22/11/15 21h00;5.6;1021.3;93;4.6;7;7.408;22.224;310;1;;6
23/11/15 00h00;5.4;1022.7;91;4;30;7.408;11.112;350;;;1
23/11/15 03h00;4.4;1023.2;92;3.2;10;3.704;14.816;20;0;0;
23/11/15 06h00;4.8;1024.3;96;4.2;3;0;11.112;0;1;;8
23/11/15 09h00;6.4;1026.2;96;5.8;10;1.852;5.556;260;0;;6
23/11/15 12h00;9.7;1026.3;62;2.8;20;1.852;11.112;220;0;;4
23/11/15 15h00;9.7;1025.7;62;2.8;20;5.556;16.668;220;0;;6
23/11/15 18h00;6.8;1025.9;80;3.6;20;5.556;16.668;190;0;;7
23/11/15 21h00;8.1;1025.4;70;3;20;11.112;18.52;200;0;;7
24/11/15 00h00;9.1;1023.8;74;4.7;20;14.816;22.224;220;0;;7
24/11/15 03h00;9.6;1021.4;89;7.9;10;27.78;44.448;220;0;;7
24/11/15 06h00;11.6;1018.9;97;11.1;3;25.928;44.448;240;7;;8
24/11/15 09h00;10.5;1020.1;85;8.1;12;16.668;35.188;300;1;;7
24/11/15 12h00;11.2;1019.9;75;6.9;12;20.372;38.892;310;;;7
24/11/15 15h00;10.6;1018.9;82;7.7;10;24.076;40.744;310;;;7
24/11/15 18h00;10.4;1018.5;87;8.3;6;25.928;48.152;310;;;7
24/11/15 21h00;10.1;1018.3;92;8.9;4;12.964;35.188;300;2;;8
25/11/15 00h00;10.8;1018.3;88;8.9;8;16.668;37.04;320;0;;8
25/11/15 03h00;11.1;1018;86;8.8;12;24.076;40.744;310;0;0;8
25/11/15 06h00;11.4;1018.3;85;9;19;27.78;46.3;320;0;;7
25/11/15 09h00;11.4;1018.9;94;10.5;10;25.928;46.3;330;1;;8
25/11/15 12h00;12.6;1019.7;83;9.8;20;31.484;53.708;330;0;;7
25/11/15 15h00;12;1019.6;80;8.7;10;27.78;57.412;330;;;8
25/11/15 18h00;11.7;1020.9;77;7.8;16;31.484;50.004;340;0;;7
25/11/15 21h00;11.2;1022.1;76;7.1;12;24.076;40.744;340;0;;6
26/11/15 00h00;11;1022.4;79;7.5;10;14.816;29.632;340;0;;6
26/11/15 03h00;10.4;1022.7;82;7.5;10;16.668;33.336;330;0;;3
26/11/15 06h00;11.1;1022.3;83;8.3;10;14.816;27.78;340;;;7
26/11/15 09h00;11.3;1023.1;94;10.4;7;18.52;33.336;330;;;8
26/11/15 12h00;12.2;1023.7;91;10.8;7;14.816;33.336;340;;;8
26/11/15 15h00;11.8;1022.9;92;10.5;11;7.408;22.224;340;0;0;8
26/11/15 18h00;11.9;1023.5;95;11.1;10;7.408;12.964;340;;;8
26/11/15 21h00;11.7;1023.6;96;11.1;4;0;7.408;0;;;8
27/11/15 00h00;11.8;1022.5;95;11;2;3.704;7.408;260;;;8
27/11/15 03h00;11.6;1020.5;97;11.1;3;7.408;11.112;240;;;8
27/11/15 06h00;10.9;1018.8;96;10.3;6;9.26;18.52;260;0;;8
27/11/15 09h00;10.7;1017.8;96;10.1;4;12.964;22.224;240;0;;8
27/11/15 12h00;12.1;1015.6;87;10;15;24.076;38.892;240;0;;8
27/11/15 15h00;11.5;1013.2;94;10.6;2;27.78;44.448;240;2;;8
27/11/15 18h00;8.5;1015.1;84;5.9;10;29.632;74.08;310;2;0;8
27/11/15 21h00;8.3;1017.7;66;2.3;20;25.928;53.708;330;0;;3
28/11/15 00h00;7.2;1020;60;-0.1;15;18.52;35.188;330;;;4
28/11/15 03h00;6.6;1021.8;71;1.7;35;11.112;31.484;310;0;0;
28/11/15 06h00;4.2;1022.4;85;1.9;15;9.26;12.964;240;;;3
28/11/15 09h00;6.9;1022.9;76;3;15;14.816;27.78;250;0;;4
28/11/15 12h00;10;1021.9;71;5;15;24.076;48.152;250;0;;7
28/11/15 15h00;10;1020;80;6.7;15;29.632;46.3;240;0;;7
28/11/15 18h00;10.9;1019;77;7;15;35.188;57.412;250;0;;7
28/11/15 21h00;11;1018.8;87;8.9;12;33.336;57.412;250;1;0;8
29/11/15 00h00;11.4;1019.1;81;8.3;10;25.928;51.856;260;0;;6
29/11/15 03h00;11.8;1019.6;81;8.6;10;24.076;48.152;260;0;;7
29/11/15 06h00;11.8;1020.7;75;7.5;10;24.076;51.856;260;0;;7
29/11/15 09h00;12.2;1022;73;7.5;12;31.484;59.264;250;0;;7
29/11/15 12h00;12.7;1023.3;71;7.6;12;33.336;53.708;250;;;7
29/11/15 15h00;12.8;1023.4;75;8.5;12;33.336;55.56;250;0;;7
29/11/15 18h00;12.6;1024.6;73;7.9;12;31.484;55.56;250;;;7
29/11/15 21h00;11.9;1025.9;75;7.6;12;27.78;50.004;250;0;;6
30/11/15 00h00;11.7;1026.7;82;8.7;15;27.78;46.3;250;0;;6
30/11/15 03h00;11.5;1026.5;84;8.9;15;25.928;42.596;230;;;7
30/11/15 06h00;11.8;1026.3;81;8.6;20;25.928;55.56;230;0;;7
30/11/15 09h00;11.8;1027.2;81;8.6;20;29.632;50.004;230;0;;8
30/11/15 12h00;12.5;1026.9;75;8.2;30;33.336;68.524;240;;;7
30/11/15 15h00;13.3;1026.3;73;8.6;20;31.484;55.56;240;0;;7
30/11/15 18h00;12.3;1027;80;8.9;18;29.632;51.856;240;0;;6
30/11/15 21h00;12.8;1027.7;76;8.7;16;27.78;53.708;250;0;0;8
01/12/15 00h00;12.7;1028.4;83;9.9;13;25.928;44.448;250;0;;7
01/12/15 03h00;11.9;1029.1;84;9.3;13;22.224;40.744;240;0;;7
01/12/15 06h00;12.4;1028.8;80;9;15;18.52;29.632;230;0;;7
01/12/15 09h00;12.7;1029.4;73;8;15;20.372;35.188;230;0;;7
01/12/15 12h00;13;1029.1;61;5.6;15;31.484;44.448;230;0;;8
01/12/15 15h00;12.6;1028;74;8.1;25;16.668;33.336;200;0;;8
01/12/15 18h00;12.2;1028.1;78;8.5;25;14.816;29.632;200;0;;8
01/12/15 21h00;12.3;1027;75;8;50;22.224;31.484;200;0;0;8
02/12/15 00h00;12.1;1026.3;76;8;30;22.224;31.484;200;0;;8
02/12/15 03h00;12.2;1025.3;80;8.8;30;24.076;40.744;200;0;;7
02/12/15 06h00;12.1;1024.2;82;9.1;30;22.224;37.04;200;0;;7
02/12/15 09h00;12.3;1025.1;84;9.7;30;18.52;33.336;210;0;;7
02/12/15 12h00;13.5;1025.3;74;9;40;25.928;44.448;200;0;;7
02/12/15 15h00;13.1;1024.8;80;9.7;30;24.076;37.04;200;0;;7
02/12/15 18h00;11.9;1025.4;86;9.6;20;18.52;29.632;190;0;;7
02/12/15 21h00;12.2;1025.1;86;9.9;20;25.928;35.188;180;0;;7
03/12/15 00h00;12.6;1024.8;87;10.5;20;20.372;33.336;180;0;;7
03/12/15 03h00;13;1023.6;86;10.7;15;24.076;35.188;180;0;;7
03/12/15 06h00;11.9;1022.5;84;9.3;15;18.52;31.484;180;0;;7
03/12/15 09h00;12.8;1021.1;81;9.6;25;25.928;44.448;180;0;;7
03/12/15 12h00;14.3;1019.6;72;9.3;25;37.04;55.56;180;0;;7
03/12/15 15h00;13.2;1017.3;87;11.1;9;38.892;64.82;180;0;;7
03/12/15 18h00;13.9;1016.1;87;11.8;10;44.448;72.228;200;4;;8
03/12/15 21h00;13;1018.4;87;10.9;10;37.04;66.672;250;1;;8
04/12/15 00h00;9.9;1024.6;75;5.7;30;25.928;51.856;320;;;7
04/12/15 03h00;8.3;1028.8;72;3.5;55;11.112;27.78;300;0;0;
04/12/15 06h00;5.2;1031.7;83;2.5;30;5.556;11.112;230;0;;2
04/12/15 09h00;8.3;1033.6;81;5.2;40;12.964;16.668;220;0;0;
04/12/15 12h00;13.1;1033.9;63;6.2;20;25.928;46.3;240;0;;5
04/12/15 15h00;12.5;1033.6;67;6.5;19;25.928;42.596;230;0;0;
04/12/15 18h00;10.7;1033.5;75;6.4;20;22.224;35.188;220;0;;5
04/12/15 21h00;11.4;1033.3;69;5.9;30;27.78;42.596;220;0;;8
05/12/15 00h00;10.5;1030.8;75;6.3;30;35.188;51.856;200;0;;4
05/12/15 03h00;11.1;1029;72;6.2;30;37.04;62.968;210;0;;7
05/12/15 06h00;11.2;1027.9;69;5.7;30;35.188;59.264;210;0;;8
05/12/15 09h00;11.8;1026.6;69;6.3;30;35.188;57.412;210;0;;8
05/12/15 12h00;12.7;1024.3;72;7.8;30;35.188;55.56;210;0;;7
